text,Emotion
i am too fragile to feel too vulnerable of pain and too easy for tears,fear
i love the way he talks sometimes i feel shy when i was inside him,joy
i still feel jealous of my friends when their moms talk politely with them,anger
i really could not feel a thing and i felt slightly annoyed at the nurse who every time i pushed kept saying things like you are an incredibly strong woman be strong be strong,anger
i did feel scared now,fear
i punched out of work sunday sighed and the brunch trumpeter waldo carter said from behind i know exactly how you feel this startled me and i flinched,surprise
a teacher was very blunt in his relation to a child so that the child was very upset when arriving at home,anger
i feel very apprehensive,fear
i walk by those temptations i feel disgusted,disgust
i hate the way mom and dad are to her i hate the neglect of her feelings and her needs as an intelligent child that are rampant in their parenting style,anger
i feel i am writing this blog for selfish reasons but i know god can use it for his her purpose,anger
i know that there is some cynicism involved but i also know that it s come from the lessons i ve learned over the last couple years of life and i don t feel resentful or damaged because of it i feel fortunate enough to have been clubbed upside the head with a bigger dose of reality,anger
i get frustrated when i know that some of the things i am thinking or feeling are very very petty so i try and limit myself to opinions that have some sort of validity,anger
i don t feel resentful i feel guilty,anger
i feel selfish on the days i dont feel well and want to be left alone in my misery,anger
i was feeling pretty bitchy and horrible but dont worry,disgust
i feel angry im happy,anger
i is feeling particularly hostile shell say no red shirt today nickey,anger
i feel equally morally outraged regardless of whether its michigans or new yorks governor sleeping with prostitutes behind his wifes and daughters backs,anger
i am tired feeling overwhelmed and it seems like i am being assaulted from every direction i am not always at my best,surprise
i can t help myself from feeling a bit apprehensive in the meantime,fear
im not feeling exactly thrilled with standing in front of a mirror if you know what i mean,joy
i still think it is worth posting here as a reminder for the next time i feel anxious,fear
i cant help but feel distraught,sadness
i feel uncomfortable and slobby,disgust
i growled at her i began to feel extremely annoyed with her,anger
i feel cheated and wronged let down and spurned the vine i tended and nursed how could it do this to me,sadness
i feel a bit frightened that you are touching my car while i am away repeatedly i ask you to stop putting stuff on it,anger
im just happy to be feeling something because for the last few days ive felt pretty,joy
im feeling pretty paranoid and trying to cover the cash and protect my belongings it definitely felt like i was doing something i shouldnt be doing like money laundering or something,fear
i was intensely conscious of how much cash i had left in my gas and food envelope and i still have what i intended to save for next week which helps me not feel so stressed and scared,fear
i feel irritated that he either interrupts my quiet time or wakes me up,anger
im getting the feeling that my classes are a little intimidated by the concept of a lit,fear
i was feeling annoyed suddenly,anger
i feel very disgusted by that i cant tolerated her actions anymore by writing this post,disgust
im so excited but feeling scared too,joy
i felt like i was losing control of my body and it was hard for me to feel calm and positive about that because it wasn t an irrational thought,sadness
i still did not really feel like myself and i kind of hated these pictures but i am soooo glad we took them,joy
i had this strange feeling that she was incredibly distressed,sadness
i wonder if feeling complacent is a result of my laziness,surprise
i guess only my wife can really know for sure but i feel at least a little bit less selfish since being married,anger
i feel frustrated irritable even,anger
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,disgust
id like to be less afraid to say how i really feel less afraid to travel,fear
i feel so pissed off that i can bite off a fucking tree log,anger
i never realized just how awful my mother has been feeling about her lack of energy and independence until i had this operation and have been so wimpy and tired,disgust
i was told to do it continues and the fact i feel fear frightened correction terrified of what is next,fear
im not quite sure what it is but its a feeling specially for you and its nothing hostile,anger
i worked as a computer tech this ability to hyper focus on one issue is a real asset however for living day to day i can get bogged down and feel frustrated that i am not making progress because i am focused on one problem,anger
im feeling anxious all im really trying to do is project the exact opposite,fear
i feel hated and isolated but it doesn t hurt,sadness
i cannot and i feel a strange sadness for a thing that i m now ready for but cannot do,surprise
i used feel frustrated all the time,anger
i thought about it later feeling anxious and worried,fear
i might start feeling nervous tomorrow but im not sure,fear
i got this amazing news from tracy today the final covers only chapters no wonder we were feeling so rushed and it seemed we didnt have enough time,surprise
i was feeling quite nervous,fear
i feel my children are in harms way i feel frightened,fear
i still am not able to remember a single dull moment a detail that pissed me off a thing i didnt feel comfortable about,joy
i questioned myself wondering why didnt i feel jubilant,joy
i love gives me a great feeling of contented accomplishment,joy
i closed her eyes in anger and feeling disgusted by this touch,disgust
i was feeling out of sorts anxious not sure what to do with myself,fear
i feel really petty at the moment because i am extremely angry because im broke at the moment and it sort of pisses me off,anger
i drove away from today feeling overwhelmed with news that i have heard a trillion times and news that my heart knows already,surprise
i asked myself why do you feel frightened of being,fear
i feel like i want to stop i think of my wimpy muscle less sister who did the tough mudder,anger
im here to tell you you arent alone if you feel vulnerable,sadness
i used to feel from your music is now gone and it has been replaced by a bitter taste in my mouth and a lot of sadness,anger
i feel now so uncomfortable with all of them i guess is me,disgust
i visited the psychologist all those years ago i really took to heart what he said about not closing myself up and letting others know when i feel uncomfortable etc,disgust
i feel you are very charming but do the other people feel very terrible,disgust
i am such a private person and although i won t be going into anything too personal i m feeling anxious just writing this,fear
i felt afraid just before receiving the question paper of the part ii exam,fear
i feel compassion for them and understand why they feel insecure,fear
i am feeling resentful it is my choice and i can choose to do things differently next time or even change my choice now,anger
i am going to feel annoyed with myself,anger
i was feeling pretty terrified full of nervous energy,fear
i try explaining my feelings and someone dismisses them blindly i feel frustrated and disinterested in discussing my opinions because they cannot put themselves in my place and know what i have experienced by living there,anger
i been so acquainted with sleep i feel like i should name it to ensure im not being rude or maybe it has a name already,anger
i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,joy
i feel petty moaning about it but its annoying me so from now on im keeping my stuff in a bag in my room if they ask i can always say im keeping it there to stop the bathroom getting cluttered,anger
i didn t feel alarmed at all,fear
i do not worry about every nuance of my day and its presentation to others less little things to worry about and that makes me feel less neurotic overall and less likely to trigger psychotic episodes as well,fear
i have lost kg and feeling fab,sadness
i know we create our own destiny but do you ever feel resentful for the way your life turned out,anger
i have the right to feel jealous naman to think na theres no us to begin with,anger
i wasn t thinking negatively about any of those things often the feeling was benign or actually an excited anticipation,joy
i do not however feel in any way hostile to anyone or capable of violence,anger
i do how empty disappointed angry sad chaotic destructive i feel today im just mad at myself why do i always fuck up shit,anger
i feel shaken and scared,fear
i feel about them i still end up nervous and have those naughty butterflies flying around my stomach,fear
i was feeling mad,anger
i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult,disgust
i know at least one other person besides myself was feeling nervous and anxious about getting started,fear
i feel so uptight about it because i know you hate it and are constantly trying to catch glimpses of the tv in the window and listen to it,anger
i feel like the most hated person on the planet for turning brendon down,sadness
i was feeling so spiteful i brought it up and i saw the hurt in his face,sadness
i feel ok lol,joy
i feel friendly when i hate you,anger
i hope to feel a bit more creative again soon and miss its presence in my life blog,sadness
i resent you as much as i do that i feel needlessly and unreasonably angry whenever you re around that the slightest idiosyncrasies of yours make me sick,anger
i could almost feel it as the flames singed and tortured her frail delicate body leaving nothing behind but a foul smelling concoction of wood and burnt flesh,disgust
ive just spent the last half hour feeling ridiculously angry over insensitive comments from my partner but that all changed a few minutes ago to real pride over how much i have changed,anger
i just woke up from my nap and i feel extremely agitated and grumpy,anger
i havent exactly gone for a spin around the block yet since id feel strange strapping in a teddy bear in place of a baby but it looks nice and sturdy and like it will do the trick,surprise
i feel apprehensive while opening the blue door,sadness
i hope to see or feel a mad glint in your eye because some madness some pathological curiosity is needed,anger
i don t know if i have told this to you but i feel intimidated by how smart you are,fear
i want to tell you what im feeling but i dont know where to start i want to tell you everything but im afraid youll break my heart why would something easy be so hard to do,sadness
im just really hurting and feeling a bit overwhelmed,surprise
i feel so overwhelmed im nauseous,disgust
i feel like im selfish,anger
i feel heartless now feeling bored and not believe in love anymore,joy
i doing something that make you feel bothered,anger
i feel greedy and selfish,anger
i feel like i should try to calm her down shes been very good to me since the games ended but i can see katniss getting more and more tense with every schedule adjustment,sadness
i feel especially vulnerable to being treated as a second class citizen,fear
i could feel that the person was pissed at me because that person didnt understand what i was trying to say and so there was further personal attack again asking me whats my nationality giving me that shit face and blah blah,anger
i remember two specific things from that class feeling terrified of my teacher who would repeat the same question in spanish with increasing volume until his victim either managed to answer correctly or ran away screaming and feeling distracted by the cute boy who helped me study for tests,fear
i love those ted talks i feel intimidated more than inspired because greater than great can be found in simplicity too,joy
i know tv isnt everyones cup of tea so if that includes you feel free to scroll down a bit,sadness
i still feel a bit overwhelmed,surprise
im feeling so invigorated and ready for whats ahead and very excited to share all that information with all of you,joy
i feel that the out of people that i encounter in the day that are rude and mean to me for no reason at all,anger
i feel quite nervous and scared too x scared cos ill be taking the plane back to singapore on my own cos i cant stay as long as my two other friends have planned t,fear
i feel like i shouldnt have even bothered,anger
i think most people have little problem expressing but once in a while i can t help but feel that we shouldn t be afraid to let it all hang out there and express the other emotions that don t get nearly as much airtime,fear
i sometimes feel so vulnerable and so lost,sadness
i feel like someone s strange uncle trying to break the ice at a party by showing this amazing talent thinking that guests will be impressed but in turn just made everything a hundred times more awkward,surprise
i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive,anger
i give probably to the degree that some might see as too much but if i feel taken advantage of or wronged in any sense i have absolutely no problem shutting it down and walking away,sadness
im feeling irritated by her friggin name,anger
im feeling queezy and cant be bothered putting these in order so here goes,anger
i look back and i feel so incredibly satisfied with my life refreshed ready for my next adventure,joy
i do not want to accept that it s inevitable that we all become grumpy old men and women as we age and i do not want to accept that feeling irritated and annoyed by trivial little things is normal,anger
i reached down to feel what that strange sensation was and i felt something there,sadness
ill smoke a few cigarettes because im feeling a little nervous,fear
i don t a feel like an idiot and b not get illogically mad at people for going to bed too early sorry for the anger family,anger
i male are stupid first for woman cry babies and should get over it and you feel really cool for putting the stupid men in their place,anger
i feel disgusted c kj rel bookmark class permalink nov middot,disgust
i feel strange coming back to work after my one day holiday,surprise
i didnt tell you because i didnt want you to feel afraid,fear
i do not feel comfortable staying in my house i feel relentless when im asked to do something tired almost all the time and bored without my own money,joy
i may not be rich by material standards but i feel very rich because i am grateful for what i have,joy
i think i can finally articulate it the prius is in its own shiny happy al gore wearing patagonia in alaska way somewhat insidious in that it makes driving feel like a virtuous act,joy
i feel somewhat alarmed,fear
i was left feeling bothered by it for a long time afterwards,anger
i feel like this could be a dangerous topic if anyone feels passionately about pianos but its been on my mind for a while and i thought it was worth discussing not because im going to paint my piano which i grew up with so please stop hyperventilating mom,anger
i know its easy to twist things to create an explanation and im still not sure i have one but it did help me to feel a little less mad,anger
i feel strange and weird about this entire struggle am i the only one who deals with this kind of conflict,disgust
i got inside it was so warm compared to the outside temp that my survivor man skills kicked in and i stripped down to my base layers to avoid feeling cold when i got back outside,sadness
i mean geez cara was raised not to feel compassion she had all love and feeling tortured and beaten from her at a very young age thats how the mord sith work,joy
i can do to that would truly express the utter gratitude and thankfulness i feel for your sincere gesture and i am very grateful,joy
i feel scared rather than curl up like a threatened porcupine,fear
i feel no matter how convinced i am that i am all alone on this life journey of mine i am not alone,sadness
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,joy
i feel intimidated like i just want to turn around and head back into the safety of my yoga class or hop on the tried and trusty treadmill,fear
i seriously feel uncomfortable,disgust
i kept feeling enraged that she was in too,anger
i wanted to not feel frightened anymore,fear
i can stop feeling jealous,anger
i didnt even have time to feel jealous i was so busy pinning her pictures and writing down a href http nanashi,anger
i remember waking up feeling anxious and excited to read the bible its amazing how god will change your desires,joy
i feel like im in a really strange stage of my life right now as im entering my th year,surprise
i suddenly feel anxious im crying over little things,fear
i was also feeling anxious around some of the people sitting in the waiting area,fear
i feel like i m in some weird limbo between childhood and adulthood,disgust
i just remember feeling so much pain and being confused and scared and convinced that i could not do this,fear
my roommate was rude to me,anger
i have so much to be thankful for so to feel jealous of a skinny girl with a seemingly disposable income who is shopping at the mall seems so,anger
i tend to stop breathing when i m feeling stressed,anger
im happy to have this in my kitchen but it feels like someone rushed this out and cut corners,joy
i feel really disgusted with myself more than the pain and agony,disgust
i recall seeing leaves falling off a tree set against a grey sky and feeling absolutely terrified,fear
i absolutely love this skinny fiber it is doing wonders for me and i feel fabulous,joy
i mean i could literally feel him feeling content,joy
i was feeling extremely anxious,fear
i feel paranoid like we just stepped into a private club where everyone knows each other and we are standing out like nudists at a suit convention,fear
i mean already as a parent from the moment the iolani left my body i can tell you i feel like im constantly fearful for something horrible happening to her thats out of my control,disgust
im not feeling insecure this month im feeling full of oomph,fear
i probably love a handful of friends too but i always feel a bit strange when describing this as love,joy
i can also song write without feeling all bashful about it and play music and my guitars without anyone telling me to turn it down,sadness
i do and it is really starting to make me feel really distraught and upset all the time,anger
i feel anxious for myself moment of truth i feel rather like a tiger in a cage when it comes to testing,fear
i keep feeling weird sensations img src http s,disgust
i just feel more vulnerable than other people,fear
i feel like im actually supporting myself by making use of what i know and love,joy
i just hope we can help him feel less afraid and more supported and loved,fear
i am feeling brave and lucky kind of like my heart is breaking and im falling in love all at the same time,joy
i feel that is why she suddenly got mad at mom,anger
i have an uneasy feeling about the stupidly talented eagles mainly because as good as they are at most positions they re dangerously thin at others,fear
i feel kind of talented right now lol hmmm,joy
i feel like im so enraged,anger
i am lost distraught and mainly at a state of feeling helpless,sadness
i feel bitter and jealous,anger
i didn t know it was possible to feel more terrified,fear
i feel so fucking rebellious all the rules and its so regimented like if class starts at theyre taking roll at,anger
i sat on a windy beach feeling thoroughly annoyed i vowed id be back and i would climb scafell,anger
i feel very excited for my familys future,joy
i am feeling particularly annoyed at my co workers i sometimes make the rounds of the floors finding literally pounds of white paper in the trash,anger
i have to admit that i feel skeptical about making these changes and wonder are natural sweeteners any better for your body than refined sugars or are all sugars the same in the end,surprise
i left that appointment feeling really bummed that the option of a vbac had been snatched from me but also sort of content with the fact that i had prayed for and possibly received a sign of gods will for this birth,joy
i wrote it feels slightly strange starting to write this about cambodia as i sit in lax airport waiting to bi,surprise
i feel so vulnerable i need to have a mask on to go into the world or if my desire is caused by a need to divert attention or cover up weakness i should probably be making more constructive use of my time than trying to look pretty,fear
i remember feeling how my husband felt when i would see people being rude to my mom and mom just being her sweet self to them,anger
i love doing kim kardashion make up tutorials i always feel so glamorous with all that make up on,joy
i was sleep was vey irritable and feeling paranoid because i work the oncology dpt of a hospital and feeling paranoiud cancer and through chemo,fear
i can remember feeling petrified,fear
i began the day feeling intimidated courthouses are designed to intimidate but ended the day cheerfully chatting with the judge in his chambers,fear
i just love the feeling of something warmly hugging you and feeling so precious and small precious to someone something,joy
i bring these to mind and feel the joyful laughter well up within my heart it becomes hard to remain weighed down by the heavier negative feelings,sadness
i am feeling quite anxious about it all,fear
i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help,sadness
i set off feeling strangely nervous and quite weak but slowly worked through the problems and was soon attempting the toughest problems,fear
i felt doubtful and the image that popped into my mind was of dealing with a big knot in my shoelace and then feeling frustrated,anger
i did the yelling the feeling of being extremely mad,anger
i can think of to quit are not based on my own needs and wants but those of others scars make other people feel uncomfortable self injury makes friends feel like they aren t offering enough support cutting is something sad teenagers do,disgust
i feel indecisive it feels like the security that i usually feel from sensing the ground beneath my feet is suddenly gone and i am left feeling wobbly and unhappy,sadness
i guess i just need to see how it goes so while im feeling very nervous im also very excited,joy
i trust my kids however i feel helpless enough in here over so many things and i m upset at the lack of respect for the few little things i asked them not to do,anger
i didnt feel much maybe just a sting but i was terrified because i didnt know if it was going to hurt or not if there would be a problem and if he knew what he was doing really who does in this situation,sadness
i don t feel like i m being pressured to do anything and i don t feel like making love to my husband has any connection to the assaults and rapes,joy
im starting to feel overwhelmed again when it comes to the research for this book,surprise
i feel generally dissatisfied and lost,sadness
i was feeling extremely agitated after coming home from china,anger
i miss the way he made me feel im at a point now where ive accepted that he betrayed me and i can never go back to him,sadness
i want to say how i want to feel just come out so bitter and angry,anger
i hope that i look back on this in the future and feel glad i documented all her small ways and feel if possible even more love for her than i do now,joy
i feel like a selfish bitch for feeling this way when countless impoverished people are suffering surely a hundred folds more than i am,anger
i know some people may cringe but when i feel something in me i have to say it and if you wanna get mad well get mad,anger
i want to avoid feeling terrified,fear
i feel like im actually doing somewhat well with it and right now im getting my swing down,sadness
i love taking in peoples smiles the way children giggle the gorgeous way little ones move closer to their moms if strangers smile at them and they feel scared the way teenagers are boisterous and full of life and hopes,joy
i feel uncertain and uneasy,fear
im not going to gush too much about the relationship but just know that im feeling very content these days,joy
i feel like theyre being rude in the first place and as long as you arent snappy about it you have every right to ask him not to touch you,anger
i feel strongly about or a line that i want to draw in the sand so to speak i shouldn t be afraid especially at this point to bring up how i feel about what my conclusion should entail etc,fear
i hope you enjoy reading and please feel free to leave comments,joy
i can feel that she smiled i love you even more gorgeous,joy
i started to feel alarmed the voices were so noisy that i actually couldnt listen to my own thoughts,fear
i feel like they might be engineering hostile situations by which i mean wars and missile testing and dropping spy planes out of the sky and all the rest because overwhelmingly they have y chromosomes and because they are bored,anger
ive been feeling a little overwhelmed about the whole thing lately but somehow the small step of finding out where my lectures will be has helped a bit,surprise
im afraid im in an environment that makes me feel more relaxed cause,fear
i sort of hate glasses because they make my eyes look small and since huge eyes is all i have going for me it was quite an upset but im hoping these bigger frames will make me feel less paranoid,anger
i am feeling intimidated by all that work,fear
i have every right to feel outraged that their legacy may be in danger,anger
i could loose my job i would be so f amp ed for xmas i hate xmas i hate holidays i wish they would go away i feel nervous i feel sad what if i disappoint my family my friends,anger
im feeling slightly intimidated,fear
id probably go with none on and hope that my date admires a confident girl who feels fine without makeup,joy
im left feeling paranoid and like it keeps getting harder to feel happy,joy
im feeling a little anxious,fear
im feeling pressured because it is crunch time with looming deadlines once i hit the airport thursday i know ill be too busy to worry with the other items for a few days,fear
i discussed previously in my last blog post how apprehensive audiences have become towards bathrooms they automatically feel nervous which has become a fantastic trope for horror fiction,fear
im frightened and feeling paranoid,fear
i also feel paranoid that everyone is listening to my phone conversations whats that all about,fear
i feel i will never escape something drawing attention to my forehead when distressed because i imagine old age will turn the scrunching into permanent wrinkles,sadness
i have crossed over and i am on safe footing yet still feel this way fearful for the unknown shaky uncertain,fear
i began to feel agitated slightly dizzy amp very hungry,anger
i woke up feeling confident and watched the bodypump dvd to gather some coaching tips and compulsory cues,joy
i feel like drinkin drinkin angry someones gonna die whiskey and beer les paul a href http farm,anger
i started feeling nervous thinking about how id planned to feed younger teens,fear
i feel like flagellating myself like the weird albino priest in angels and demons every time i see his face,disgust
im blocked i could at least be doing something constructive my room needs a major cleaning for instance but i feel agitated if im not at least doing research for this story it does require a lot of research,anger
i know i probably shouldnt write with that sort of angry passion here on the blog but i never want to feel inhibited on what i can and cannot post,anger
i do give up at times when i feel there s no point in a friendship when one cant be bothered,anger
i was feeling rather self satisfied that my teen daughter and i were facebook friends,joy
i hate feeling so fucked up all the time because of this,anger
i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,anger
i feel a bit insulted by that as i am nothing like other women i bloody hate them and their incessant bitching in general over bloody nothing most of the time,anger
im feeling rather bothered because my physical and mental clock is still in october,anger
i keep running up the hill and fitness wise feel fine but along with my foot my calves are starting to now hurt also as they begin to tire,sadness
i was beginning to think that i had been cut from the ranks of the frugal antics improv challenge and was beginning to feel a bit insecure about my first entry last month,fear
i see each time you is what feel i am very anxious to to living to eat you,fear
i begin to feel terribly rude and that causes me to become depressed,anger
i remember just knowing you were crazy in love with me without a shadow of a doubt and you made me feel gorgeous always,joy
i feel pressured in social situations yes but not as much anymore i love my body enough to not abandon it for the sake of someone else s beliefs,joy
i really hate this feeling when you really give so much damn about someone but really all that person show you is just simply like they cant be bothered with you,anger
i hate getting behind because then i feel pressured to get it all back up to date so i can move on to other projects,anger
i am going crazy at leas the feeling is more pleasent them fearful,fear
im left with today is feeling anxious and sad and lonely,sadness
i feel angry or resentful all i need do is remind myself that each day sober has been made possible by a fellowship which supports me all the way,anger
i read a story that left me feeling confused frustrated and a little angry,anger
i mean i feel i feel like the i feel the burden i cant breathe and suddenly im terrified of october what have i been doing the past weeks,fear
i don t know what to do about it or how to do it almost feeling angry within myself that i can t do something tangible and pragmatic to help my sisters,anger
i was a child this song makes me smile because i was brought up the mediterranean because you only love the sea when you feel it in your bones when it makes you frightened and when it surprise you every day somehow so many ways,joy
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,disgust
i feel bitter and just honkerblonked off in general,anger
i was overcome with heat and i started feeling very weird,disgust
i ended up shoeless making me feel even more vulnerable and slowing me down further,sadness
im feeling really annoyed today,anger
i hope i did not make you feel greedy o shit i hope i did not make you feel greedy or whore like sniiiiifff honey i was just trying to make you feel loved and happy,anger
i do have to say that at first listen yunhos raps gave me that wtf feeling but after listening a couple times im determined to learn them,surprise
i am afrade for his life as some people feel quite hostile towards him,anger
i resorted to yesterday the post peak day of illness when i was still housebound but feeling agitated and peckish for brew a href http pics,anger
i dont want to approach this topic too lightly but at the same time i feel apprehensive putting it all out there,fear
i cannot in good conscience encourage my young kids read stuff from someone i feel is so vile no matter how good it is,disgust
i break down and it leaves me feeling bitter,anger
i cant help but feel a bi jealous of their professional organization good support system and comfortable living situation,anger
tutorial again a fearful feeling came to me when i sat on the chair and looked at my fellow students all around i was really scared that they would ask me some questions or challenge the ideas that i had presented,fear
i hate feeling so despised and detested by someone who i truly care for and completely love,anger
i feel nervous when anyone gets too close,fear
i know this is not specific for me and almost everyone else has a similar experience but i still can t help but feel appalled,disgust
im feeling agitated today,anger
i notice a lump or feel pain in any part of my body i will somehow become fearful or scared,fear
i taught him what it can look like and how it could make him feel scared confused excited nervous,fear
i feel a little strange chasing after them since im so disappointed in the brand as a whole,sadness
i feel like after everything ive been nothing but sincere what bothers me the most is that you wanted to hurt me you even told me,sadness
i have to do this and make some vj feel jealous,anger
i feel so disgusted and ashamed of myself,disgust
im feeling really quite angry,anger
i understand that you re feeling anxious,fear
fear of thief,fear
i often feel bothered by it by my inability to stop loving people no matter how much time passes or how deeply they wrong me,anger
i get depressed when i feel that i am not talented enough that i can never create a beautiful piece of art,sadness
i do find that this question puts me right at the edge of bringing the love of the dharma into the world an edge that i feel is vital and necessary,joy
i grit my teeth shook my head and spent the next minutes feeling irritated,anger
i will probably do but for some reason i feel a bit agitated by it all,anger
i feel pretty weird about that considering what my friends and colleagues in nyc and new jersey are going through but it s just the reality,disgust
i notice that i feel a little apprehensive even to share all this,fear
i confess i feel a little apprehensive,fear
i feel like i need to tattoo that peggy o mara quote onto my arm so i ll see it next time i feel disgusted disdainful or disappointed by my children s behavior,disgust
i am feeling a little bit hostile towards my ex today,anger
i know the pain parents feel when an enraged child becomes violent,anger
i feel weird this morning,disgust
i feel a little paranoid that i may forget what ive learnt,fear
i know what god has said about stuff and yet right now i am beginning to feel anxious about it,fear
i feel bitter but i want to rise up,anger
i feel impatient but much thanks to nic she knows how to calm to me down,sadness
i feel that they are vulnerable in the coming election given their performance,fear
i could just feel the joy rage coming at me for that one but i m glad you re feeling back at it and i m also glad we went to yoga tonight because sometimes you just need to know that you re better than your crossfit coach at side plank img src http s,joy
i feel like ive been shaken around a thrown down,sadness
i woke up feeling very distraught and aware of something terrible which will happen soon,disgust
i feel like im the only one there with a brain not to be rude but i refuse to sit with loud and rude people so i sit alone with just myself and a good book,anger
i was building with angie i m feeling profoundly betrayed and very angry,anger
i feel a lot more confident about the path ive chosen,joy
waiting for my girlfriend to come from her apt to mine she was very late and i thought something awful had happened,disgust
i feel that the students in this classroom are very hostile towards any display of intellect just like the rest of society,anger
i think i feel myself flushing don t be alarmed i m on a headache medicine that causes that sometimes,fear
i may feel relieved or satisfied but i am probably not having fun,joy
i was so honoured that this young woman felt comfortable enough to ask me i had kind of a faux hawk thing going on back then so i must have looked dykey enough for her to feel safe talking to me,joy
i hope you enjoy and do not feel offended,joy
im feeling more comfortable in the water,joy
i hated that i hurt him with my feelings i hated that i was dating somebody i didn t love i hated that i pretended lied to a friend i really treassured,joy
i feel incredibly nervous about it,fear
i am anxious to see the movie bully it s trailer left me feeling shaken and nostalgic,fear
i feel like you didnt really care that alexis did that to me and you were irritated that i was even telling you,anger
i was already packed didn t want to wait around for her to talk to her friend was feeling irritable tired and eventually gave up on trying to go in the first place made me feel more down about my situation,sadness
i feel overwhelmed stressed and pressured inside something magical happens when i take off my shoes and go for a walk in the park or on the beach,surprise
i feel so self satisfied proving that i can get by without my car and i am not one of those typical americans who is so dependent on their car and foreign oil,joy
i feel somewhat relieved but disappointed that of the two qualified venue i had questioned neither bothered to make the observations we did,anger
i feared i would feel resentful of her or this process but i dont and i am so happy about that,anger
i feel so honored and grateful that these wonderful people have entrusted us with this beautiful boy as our son,joy
i feel the most peaceful and at my best when i m in nature,joy
i need some to hold me to hug me like they love me really love me to be there in quiet to just sit to be there just to stop me doing something stupid it cant be my parents cos i know id just run i cant run from other people i feel rude,anger
i can t believe it i feel so nervous but my father reassures me that there is nothing to be nervous about which only makes me more nervous,fear
i feel hateful to have given up my friendship with that woman and a couple of others for the same reasons to admit defeat and let my husband make me feel so insecure that i feel the need to avoid her cut her out of my life so that my securities is not challenged,fear
i feel if not resolved soon enough will have a damaging effect on all the hard work my girlfriend and i have put into our relationship,sadness
i remember feeling annoyed but also wondering if i shouldn t stop and buy something,anger
i left the place feeling slightly shaken it s hard to read and hear about such things,sadness
i love the treadmill and i am actually so used to it that i actually feel intimidated running outside,joy
i feel satisfied and not necessarily just forget the pain that she felt,joy
i feel intimidated by the wide open design and therefore find it hard to write,sadness
i feel and bring him and coming against a savage the wax doll in the clouds blown across to tak my own feeling that be the bare feet were they were moving fast as i brought it as i love in a time for he yet i made him,joy
i just go into these modes where i want to write then feel disgusted and do not what to write at all,disgust
i completely lose ability to segregate my feelings with my actions is when they are rude and hurtful to their father and my husband who is also my hero and best friend and heart,anger
i write that i feel a bit anxious,fear
i have been feeling so overwhelmed lately,surprise
i devote a significant amount of emotional energy to feeling anxious and thus become irritable or frustrated with very little provocation,anger
i feel hateful of myself for being alone,sadness
i feel more irritated than peaceful,anger
i still feel uncertain with many new paths i must travel and as lost as i feel sometimes i am sure heavenly father is lifting me up and helping me to feel joy in the things that matter most,sadness
i feel agitated im nervous im anxious,fear
i can go from elated laughing to plunging back into my extreme misery at a simple exchange that it feels so dangerous now,joy
i can feel this really effecting my attitude toward her i feel bitter and angry,anger
i was overwhelmed with joy when i received the acceptance letter to unza this happened again when i passed all my first year courses,surprise
i spent a lot of my childhood feeling completely frightened of her but i remember a lot of good things too,fear
i have struggled to fit all the work in for this module and have felt frustrated at times feeling that my blogs were rushed and although i have read with great interested fellow students blogs i feel i havent interacted as much as i could have done this is a definite area for development,anger
im in the car with my roommate and her family i feel like im being all rude because i have to call her and my dad so that my dad can give her directions and she keeps asking what she needs to bring,anger
i feel less bothered my get the rape stick out of your ass because i think a statement like that says a lot more about the speaker than the target,anger
i seem to be feeling a little less anxious this week but i sure wish that i could check on her every week at the doctor instead of the that are scheduled,fear
i am slowly paying off my debts and i feel generally happy about where i am and what im doing,joy
i dont know that i am feeling fearful,fear
i sat down at the computer feeling nervous excited and more than a little silly,joy
i look around at the people around me and i feel almost slightly envious about how they have a way of motivating themselves sitting down and studying so hard,sadness
i was starting to feel nervous all this lifetime of fandom and build up and there i stood donning my vip sticker,fear
ive lost lbs between january of this year and now i have this wicked part of me that feels very keen to try on new clothing and to tell myself that i deserve new clothing,sadness
i will still feel insecure,fear
i was cleaning up the place and about minutes in i started feeling paranoid and what i can only assume is the beginning of a psychotic episode,fear
i feel a little frustrated an ache of longing has settled into my heart the weariness of life his slipped around my shoulders like an unwelcome friend,anger
i press play and yeah i watch my movie about five times in a row right then and there i feel satisfied and cant wait to share what i made with my friends,joy
i am feeling much more like myself but experiencing strange head and neck twinges,surprise
i had just eaten a particularly dreadful railway burger and so was feeling irritated before i even read his remarks hence my suggestion that he was only a so called environment secretary,anger
i am feeling very apprehensive about the future at the moment,fear
i would throw things and feel terrified and agitated,anger
i wonder if this is just my bias from the fact that im doing a bible themed anthology and i feel like my intelligence is being insulted,surprise
